State,gunOwnership,totalGuns
Montana,0.6630,22133
Wyoming,0.6620,132806
Alaska,0.6450,15824
Idaho,0.6010,49566
West Virginia,0.5850,35264
Arkansas,0.5720,79841
Mississippi,0.5580,35494
Alabama,0.5550,161641
South Dakota,0.5530,21130
North Dakota,0.5510,13272
Oklahoma,0.5470,71269
Kentucky,0.5460,81058
Louisiana,0.5310,116831
Tennessee,0.5160,99159
Oregon,0.5080,61383
Vermont,0.5050,5872
South Carolina,0.4940,105601
Georgia,0.4920,190050
Kansas,0.4890,52634
Missouri,0.4880,72995
Nevada,0.4730,76888
Maine,0.4680,15371
Utah,0.4680,72856
Arizona,0.4630,179738
New Mexico,0.4620,97580
North Carolina,0.4580,152238
Texas,0.4570,588696
Wisconsin,0.4530,64878
Nebraska,0.4520,22234
Colorado,0.4510,92435
Indiana,0.4480,114019
Virginia,0.4460,307822
Iowa,0.4360,28494
Minnesota,0.4280,79307
Washington,0.4210,91835
New Hampshire,0.4110,64135
Pennsylvania,0.4070,236377
Michigan,0.4020,65742
Ohio,0.4000,173405
Florida,0.3530,343288
Delaware,0.3440,4852
Maryland,0.3020,103109
California,0.2830,344622
Illinois,0.2780,146487
Connecticut,0.2360,82400
New York,0.1990,76207
Hawaii,0.1490,7859
Rhode Island,0.1480,4223
Massachusetts,0.1470,37152
New Jersey,0.1470,57505